Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,48.080002,48.360001,47.700001,47.770000,42.648174,857000
2014-08-01,47.720001,48.389999,47.720001,48.040001,42.889233,775000
2014-08-04,48.110001,48.220001,46.660000,47.360001,42.282143,1002600
2014-08-05,47.119999,47.549999,46.439999,46.599998,41.603626,1066400
2014-08-06,46.330002,46.799999,46.330002,46.410000,41.433994,610200
2014-08-07,45.980000,46.849998,45.980000,46.549999,41.838444,837100
2014-08-08,46.599998,47.990002,46.599998,47.959999,43.105728,725100
2014-08-11,48.099998,48.419998,47.669998,47.720001,42.890030,580800
2014-08-12,48.029999,48.639999,47.700001,48.110001,43.240555,540400
2014-08-13,48.160000,48.599998,48.160000,48.360001,43.465248,484500
2014-08-14,48.389999,49.389999,48.270000,49.270000,44.283146,816800
2014-08-15,49.340000,50.150002,49.290001,49.910000,44.858372,1345500
2014-08-18,49.900002,50.160000,49.459999,49.689999,44.660633,897300
2014-08-19,49.689999,50.320000,49.689999,49.860001,44.813427,570900
2014-08-20,49.740002,50.000000,49.570000,49.980000,44.921276,390900
2014-08-21,49.900002,50.310001,49.770000,50.080002,45.011158,627400
2014-08-22,49.860001,50.090000,49.630001,49.660000,44.633667,407000
2014-08-25,49.849998,50.130001,49.610001,49.740002,44.705570,550100
2014-08-26,49.849998,50.070000,49.599998,49.630001,44.606705,456000
2014-08-27,49.860001,50.389999,49.799999,50.380001,45.280796,537800
2014-08-28,50.130001,50.419998,49.950001,50.200001,45.119007,512400
2014-08-29,50.200001,50.639999,49.130001,50.610001,45.487518,354700
2014-09-02,50.060001,50.509998,49.900002,50.139999,45.065083,758900
2014-09-03,50.000000,50.290001,49.779999,50.290001,45.199905,528800
2014-09-04,50.320000,50.689999,50.080002,50.380001,45.280796,605500
2014-09-05,50.290001,50.540001,50.259998,50.509998,45.397629,397100
2014-09-08,50.430000,50.709999,50.029999,50.099998,45.029129,457400
2014-09-09,50.139999,50.139999,49.470001,49.590000,44.570755,677000
2014-09-10,49.540001,49.549999,49.139999,49.400002,44.399982,531900
2014-09-11,49.450001,49.709999,49.340000,49.650002,44.624680,533100
2014-09-12,49.500000,49.630001,48.919998,49.139999,44.166302,402400
2014-09-15,49.020000,49.380001,48.889999,49.180000,44.202248,404200
2014-09-16,49.110001,49.770000,49.020000,49.610001,44.588730,353200
2014-09-17,49.630001,49.830002,49.200001,49.320000,44.328079,504700
2014-09-18,49.349998,49.380001,48.810001,48.820000,43.878696,445200
2014-09-19,49.060001,49.480000,49.000000,49.250000,44.265163,1030000
2014-09-22,49.180000,49.250000,48.770000,48.770000,43.833744,497700
2014-09-23,48.740002,48.759998,48.189999,48.209999,43.330425,609600
2014-09-24,48.310001,48.560001,47.889999,48.290001,43.402332,423700
2014-09-25,48.349998,48.540001,48.070000,48.240002,43.357388,489800
2014-09-26,48.189999,48.389999,47.799999,48.259998,43.375370,532600
2014-09-29,48.070000,48.330002,47.950001,48.290001,43.402332,523800
2014-09-30,48.250000,48.919998,48.200001,48.230000,43.348404,826400
2014-10-01,48.209999,48.529999,47.880001,48.099998,43.231564,607600
2014-10-02,48.080002,48.240002,47.750000,48.009998,43.150681,537000
2014-10-03,48.320000,48.560001,47.950001,48.189999,43.312462,982300
2014-10-06,48.299999,48.630001,47.580002,47.919998,43.069778,1620100
2014-10-07,47.680000,48.799999,47.639999,48.400002,43.501198,904400
2014-10-08,48.430000,49.570000,48.279999,49.540001,44.525810,801000
2014-10-09,49.570000,49.910000,48.820000,49.020000,44.058441,721700
2014-10-10,49.259998,50.189999,49.150002,49.980000,44.921276,1308200
2014-10-13,50.110001,50.310001,49.369999,49.540001,44.525810,799600
2014-10-14,49.779999,50.450001,49.599998,50.299999,45.208893,1043600
2014-10-15,49.889999,49.990002,48.279999,49.090000,44.121361,1046400
2014-10-16,48.369999,49.509998,48.369999,49.279999,44.292130,754700
2014-10-17,49.500000,49.869999,49.099998,49.599998,44.579739,634600
2014-10-20,49.750000,50.779999,49.639999,50.740002,45.604359,645900
2014-10-21,50.889999,51.209999,50.549999,50.980000,45.820057,559000
2014-10-22,51.130001,51.619999,50.919998,51.060001,45.891968,570700
2014-10-23,51.180000,51.889999,51.169998,51.430000,46.224514,590000
2014-10-24,51.570000,51.990002,51.430000,51.910000,46.655933,702800
